,home_team,away_team,home_goals,away_goals,result
328,Crystal Palace,West Ham United,5.0,2.0,H
329,Fulham,Liverpool,1.0,3.0,A
330,Arsenal,Chelsea,5.0,0.0,H
331,Wolverhampton Wanderers,Bournemouth,0.0,1.0,A
332,Crystal Palace,Newcastle United,2.0,0.0,H
333,Everton,Liverpool,2.0,0.0,H
334,Manchester United,Sheffield United,4.0,2.0,H
335,Brighton & Hove Albion,Manchester City,0.0,4.0,A
336,West Ham United,Liverpool,2.0,2.0,D
337,Fulham,Crystal Palace,1.0,1.0,D
338,Manchester United,Burnley,1.0,1.0,D
339,Newcastle United,Sheffield United,5.0,1.0,H
340,Wolverhampton Wanderers,Luton Town,2.0,1.0,H
341,Everton,Brentford,1.0,0.0,H
342,Aston Villa,Chelsea,2.0,2.0,D
343,Bournemouth,Brighton & Hove Albion,3.0,0.0,H
344,Tottenham Hotspur,Arsenal,2.0,3.0,A
345,Nottingham Forest,Manchester City,0.0,2.0,A
346,Chelsea,Tottenham Hotspur,2.0,0.0,H
347,Luton Town,Everton,1.0,1.0,D
348,Arsenal,Bournemouth,3.0,0.0,H
349,Brentford,Fulham,0.0,0.0,D
350,Burnley,Newcastle United,1.0,4.0,A
351,Sheffield United,Nottingham Forest,1.0,3.0,A
352,Manchester City,Wolverhampton Wanderers,5.0,1.0,H
353,Brighton & Hove Albion,Aston Villa,1.0,0.0,H
354,Chelsea,West Ham United,5.0,0.0,H
355,Liverpool,Tottenham Hotspur,4.0,2.0,H
356,Crystal Palace,Manchester United,4.0,0.0,H
357,Fulham,Manchester City,0.0,4.0,A
358,Bournemouth,Brentford,1.0,2.0,A
359,Everton,Sheffield United,1.0,0.0,H
360,Newcastle United,Brighton & Hove Albion,1.0,1.0,D
361,Tottenham Hotspur,Burnley,2.0,1.0,H
362,West Ham United,Luton Town,3.0,1.0,H
363,Wolverhampton Wanderers,Crystal Palace,1.0,3.0,A
364,Nottingham Forest,Chelsea,2.0,3.0,A
365,Manchester United,Arsenal,0.0,1.0,A
366,Aston Villa,Liverpool,3.0,3.0,D
367,Tottenham Hotspur,Manchester City,0.0,2.0,A
368,Brighton & Hove Albion,Chelsea,1.0,2.0,A
369,Manchester United,Newcastle United,3.0,2.0,H
370,Arsenal,Everton,2.0,1.0,H
371,Brentford,Newcastle United,2.0,4.0,A
372,Brighton & Hove Albion,Manchester United,0.0,2.0,A
373,Burnley,Nottingham Forest,1.0,2.0,A
374,Chelsea,Bournemouth,2.0,1.0,H
375,Crystal Palace,Aston Villa,5.0,0.0,H
376,Liverpool,Wolverhampton Wanderers,2.0,0.0,H
377,Luton Town,Fulham,2.0,4.0,A
378,Manchester City,West Ham United,3.0,1.0,H
379,Sheffield United,Tottenham Hotspur,0.0,3.0,A
